#boundary segments
444.172 1878.25
443.353 1878.99
442.452 1879.8
441.463 1880.7
440.375 1881.68
439.179 1882.77
437.865 1883.96
436.421 1885.27
434.834 1886.72
433.09 1888.3
431.175 1890.05
429.072 1891.97
426.761 1894.09
424.224 1896.41
421.439 1898.97
418.382 1901.78
415.026 1904.87
411.345 1908.28
407.306 1912.02
402.877 1916.14
398.021 1920.67
392.699 1925.65
386.867 1931.13
380.48 1937.16
373.486 1943.79
365.832 1951.09
357.46 1959.11
348.305 1967.94
338.301 1977.65
327.374 1988.33
315.446 2000.08
302.435 2013
288.25 2027.22
272.798 2042.86
255.979 2060.06
237.684 2078.98
226 2091.18

58.2981 444.616
99.7206 444.616

0 1871.19
-680.26 1259.8

452 -1368.28
1132.26 -756.885

452 -1368.28
451.962 -1368.31
451.92 -1368.35
451.873 -1368.39
451.822 -1368.44
451.766 -1368.49
451.705 -1368.54
451.637 -1368.6
451.563 -1368.67
451.481 -1368.74
451.39 -1368.83
451.291 -1368.91
451.182 -1369.01
451.062 -1369.12
450.93 -1369.24
450.785 -1369.37
450.626 -1369.51
450.45 -1369.67
450.257 -1369.85
450.044 -1370.04
449.811 -1370.25
449.554 -1370.48
449.271 -1370.73
448.961 -1371.01
448.619 -1371.32
448.243 -1371.66
447.83 -1372.03
447.376 -1372.44
446.876 -1372.89
446.326 -1373.39
445.722 -1373.93
445.058 -1374.53
444.328 -1375.19
443.525 -1375.92
442.642 -1376.72
441.672 -1377.6
440.606 -1378.56
439.433 -1379.62
438.145 -1380.79
436.73 -1382.08
435.174 -1383.49
433.465 -1385.05
431.587 -1386.76
429.525 -1388.64
427.26 -1390.71
424.773 -1392.99
422.042 -1395.5
419.044 -1398.26
415.754 -1401.29
412.144 -1404.62
408.184 -1408.29
403.84 -1412.33
399.078 -1416.77
393.857 -1421.65
388.137 -1427.02
381.871 -1432.93
375.01 -1439.43
367.501 -1446.58
359.285 -1454.45
350.301 -1463.1
340.483 -1472.61
337.338 -1475.67

452 502.914
384.26 435.174

145.581 311.451
145.581 386.318

0 1871.19
0 502.914

99.7206 304.986
101.232 304.993
101.911 305
102.47 305.009
102.976 305.018
103.455 305.029
103.918 305.04
104.375 305.052
104.831 305.066
105.29 305.081
105.754 305.098
106.226 305.116
106.709 305.136
107.204 305.158
107.714 305.182
108.239 305.209
108.782 305.238
109.343 305.27
109.926 305.306
110.53 305.345
111.158 305.388
111.811 305.435
112.491 305.487
113.199 305.544
113.937 305.607
114.708 305.676
115.512 305.752
116.351 305.836
117.228 305.928
118.145 306.029
119.103 306.141
120.105 306.263
121.153 306.398
122.25 306.546
123.398 306.709
124.6 306.888
125.858 307.086
127.175 307.303
128.555 307.541
130 307.804
131.514 308.093
133.1 308.411
134.762 308.76
136.503 309.144
138.328 309.567
140.24 310.033
142.245 310.544
144.346 311.107
145.581 311.451

269.002 68.336
268.964 68.3747
268.921 68.4172
268.874 68.4641
268.823 68.5156
268.766 68.5722
268.704 68.6345
268.636 68.703
268.561 68.7784
268.479 68.8614
268.388 68.9526
268.289 69.0529
268.18 69.1633
268.06 69.2847
267.928 69.4183
267.784 69.5652
267.625 69.7268
267.451 69.9046
267.26 70.1002
267.051 70.3153
266.821 70.5519
266.569 70.8122
266.294 71.0985
265.991 71.4134
265.66 71.7598
265.298 72.1409
264.901 72.5601
264.468 73.0212
263.993 73.5284
263.475 74.0863
262.91 74.7
262.293 75.3751
261.619 76.1177
260.886 76.9346
260.087 77.8331
259.217 78.8215
258.272 79.9088
257.245 81.1047
256.13 82.4203
254.922 83.8674
253.612 85.4592
252.195 87.2102
250.663 89.1363
249.008 91.2551
247.223 93.5857
245.3 96.1493
243.229 98.9693
241.112 101.918

394.669 68.336
394.662 69.6287
394.654 70.2093
394.645 70.6879
394.635 71.1209
394.625 71.5301
394.613 71.9267
394.6 72.3177
394.586 72.7075
394.57 73.0996
394.553 73.4967
394.534 73.9008
394.513 74.3139
394.49 74.7375
394.465 75.1733
394.438 75.6226
394.407 76.0868
394.374 76.5672
394.337 77.0652
394.296 77.5821
394.252 78.1192
394.203 78.6778
394.149 79.2593
394.09 79.8652
394.024 80.4968
393.952 81.1557
393.874 81.8434
393.787 82.5616
393.691 83.3118
393.586 84.0959
393.47 84.9156
393.343 85.7728
393.203 86.6695
393.05 87.6077
392.88 88.5896
392.694 89.6175
392.489 90.6936
392.264 91.8205
392.016 93.0006
391.744 94.2368
391.444 95.5317
391.114 96.8884
390.751 98.3098
390.352 99.7994
389.913 101.36
389.751 101.918
337.338 101.918

-1657.13 386.318
-1657.13 386.318

0 386.318
58.2981 444.616

-1522.4 502.914
-1522.44 502.88
-1522.48 502.842
-1522.53 502.801
-1522.58 502.755
-1522.63 502.705
-1522.7 502.65
-1522.76 502.59
-1522.84 502.523
-1522.92 502.45
-1523.01 502.369
-1523.11 502.281
-1523.22 502.183
-1523.33 502.076
-1523.47 501.958
-1523.61 501.828
-1523.77 501.686
-1523.94 501.529
-1524.14 501.356
-1524.35 501.166
-1524.58 500.958
-1524.84 500.728
-1525.12 500.475
-1525.43 500.198
-1525.77 499.892
-1526.14 499.556
-1526.55 499.187
-1527.01 498.781
-1527.51 498.334
-1528.05 497.842
-1528.66 497.302
-1529.32 496.708
-1530.05 496.055
-1530.85 495.337
-1531.74 494.547
-1532.71 493.679
-1533.78 492.725
-1534.95 491.676
-1536.25 490.522
-1537.67 489.255
-1539.23 487.862
-1540.95 486.331
-1542.85 484.649
-1544.93 482.8
-1547.22 480.77
-1549.74 478.539
-1552.51 476.09
-1555.56 473.399
-1558.92 470.445
-1562.6 467.202
-1566.66 463.643
-1571.13 459.737
-1576.04 455.452
-1581.44 450.752
-1587.38 445.598
-1593.92 439.949
-1601.11 433.757
-1609.01 426.974
-1617.71 419.547
-1627.28 411.416
-1637.81 402.519
-1649.39 392.789
-1657.13 386.318

394.669 223.654
394.669 223.654

0 223.654
0 223.654

394.669 223.654
394.669 135.5

191.442 304.986
256.006 304.986

1974.4 502.914
452 502.914

394.669 386.318
394.659 387.868
394.647 388.564
394.634 389.138
394.621 389.657
394.605 390.148
394.588 390.624
394.57 391.093
394.549 391.56
394.527 392.03
394.502 392.506
394.475 392.991
394.445 393.486
394.412 393.994
394.376 394.517
394.336 395.056
394.292 395.612
394.244 396.189
394.191 396.786
394.133 397.406
394.069 398.05
393.998 398.72
393.921 399.417
393.836 400.143
393.742 400.901
393.639 401.691
393.525 402.516
393.4 403.377
393.263 404.277
393.112 405.217
392.945 406.2
392.763 407.228
392.561 408.303
392.34 409.428
392.097 410.606
391.829 411.838
391.535 413.129
391.211 414.48
390.854 415.895
390.462 417.378
390.031 418.931
389.557 420.558
389.035 422.262
388.461 424.049
387.83 425.921
387.136 427.882
386.372 429.939
385.532 432.094
384.607 434.353
384.26 435.174

0 0
111.827 111.827

-680.26 -756.885
-1522.4 0

1132.26 1259.8
452 1871.19

337.338 0
337.338 0

0 0
0 0

0 386.318
81.3319 304.986

-680.26 1259.8
-1522.4 502.914

1132.26 -756.885
1974.4 0

337.338 0
337.338 0

145.581 386.318
145.581 435.597

337.338 101.918
241.112 101.918

99.7206 304.986
99.7206 386.318

0 502.914
-1522.4 502.914

249.185 135.5
337.338 135.5

191.442 444.616
191.442 386.318
